Customer_Name,Account,Inventory_Barcode,Barcode,Location,Bin_Location,Item,Manufacturer,Product_Description,Pkg,On_Hand,On_Hand2,On_Order,Min,Max,Price,Total,Customer_Account,Web_Image,VendorCost,Check,QTY,Updated_Time,Customer_Inventory_ID,UserID
Apotex,15910,APRH1200,250282 CBL-50U,RH VMI3-RH (PROD),PM-C2-R-2B,250282 CBL,GENERIC VENDOR,M10-1.5X20 HHCS FT A2 SS D933 UNC,50 50U,0,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Apotex,15910,APRH1202,250380 CBL-50U,RH VMI3-RH (PROD),PM-C2-R-2D,250380 CBL,GENERIC VENDOR,M10-1.5X30 HHCS FT A2 SS;D933 UNC,50 50U,10,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Apotex,15910,APRH1232,501791 CBL-50U,RH VMI3-RH (PROD),PM-C2-R-12C,501791 CBL,GENERIC VENDOR,M8-1.25X40 FHSCS A2 SS UNC,50 50U,1,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Apotex,15910,APRH1233,501792 CBL-50U,RH VMI3-RH (PROD),PM-C2-R-12D,501792 CBL,GENERIC VENDOR,M8-1.25X45 FHSCS A2 SS;UNC,50 50U,51,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Apotex,15910,APRH1253,254851 CBL-50U,RH VMI3-RH (PROD),PM-C2-L-16B,254851 CBL,GENERIC VENDOR,M8-1.25X30 HHCS FT A2 SS D933 UNC,50 50U,0,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Apotex,15910,APST3600,511149 CBL-50U,ETO VMI8-ST (PCK),PCK-B1-2J,511149 CBL,GENERIC VENDOR,M10-1.5X20 SHCS A2 SS UNC,50 50U,50,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Apotex,15910,APST3608,511346 CBL-50U,ETO VMI8-ST (PCK),PCK-B1-3I,511346 CBL,GENERIC VENDOR,M8-1.25X16 SHCS A2 SS UNC FT,50 50U,0,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Apotex,15910,APST3616,511348 CBL-50U,ETO VMI8-ST (PCK),PCK-B1-4I,511348 CBL,GENERIC VENDOR,M8-1.25X20 SHCS A2 SS UNC FT,50 50U,0,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Apotex,15910,APST3629,250282 CBL-50U,ETO VMI8-ST (PCK),PCK-B1-6E,250282 CBL,GENERIC VENDOR,M10-1.5X20 HHCS FT A2 SS D933 UNC,50 50U,50,0,0,0,0,,,NULL,NULL,,NULL,,,,NULL
Bock North America,146230,BOC0069,241426 CBL-50U,Bock VMI1 Main Store,WS-F2-F7,241426 CBL,GENERIC VENDOR,1/2-13X1-1/2 HHCS FT G5 ZC UNC STL,50 50U,0,0,0,13,50,,,NULL,NULL,,NULL,,,,NULL
Bock North America,146230,BOC0071,241443 CBL-50U,Bock VMI1 Main Store,WS-F2-E7,241443 CBL,GENERIC VENDOR,1/2-13X1-1/4 HHCS FT G5 ZC UNC STL,50 50U,0,0,0,13,50,,,NULL,NULL,,NULL,,,,NULL
Bock North America,146230,BOC0084,242543 CBL-50U,Bock VMI1 Main Store,WS-F2-A5,242543 CBL,GENERIC VENDOR,1/4-20X1/2 HHCS G5 ZC UNC STL,50 50U,0,0,0,13,50,,,NULL,NULL,,NULL,,,,NULL
Bock North America,146230,BOC0138,247732 CBL-50U,Bock VMI1 Main Store,WS-F2-B7,247732 CBL,GENERIC VENDOR,7/16-14X1-1/2 HHCS FT G5 ZC UNC STL,50 50U,0,0,0,13,50,,,NULL,NULL,,NULL,,,,NULL
Bock North America,146230,BOC0140,247812 CBL-50U,Bock VMI1 Main Store,WS-F2-A7,247812 CBL,GENERIC VENDOR,7/16-14X1 HHCS FT G5 ZC UNC STL,50 50U,0,0,0,13,50,,,NULL,NULL,,NULL,,,,NULL
Bock North America,146230,BOC0143,247925 CBL-50U,Bock VMI1 Main Store,WS-F2-C7,247925 CBL,GENERIC VENDOR,7/16-14X2 HHCS PT G5 ZC UNC STL,50 50U,0,0,0,13,50,,,NULL,NULL,,NULL,,,,NULL
Bock North America,146230,BOC0146,249017 CBL-50U,Bock VMI1 Main Store,WS-F2-D7,249017 CBL,GENERIC VENDOR,1/2-13X1 HHCS FT G5 ZC UNC STL,50 50U,0,0,0,13,50,,,NULL,NULL,,NULL,,,,NULL
Bock North America,146230,BOC0147,249219 CBL-50U,Bock VMI1 Main Store,WS-F2-F4,249219 CBL,GENERIC VENDOR,3/8-16X1-1/4 HHCS FT G5 ZC UNC STL,50 50U,0,0,0,13,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0020,1-MSC-6-40 SSS-25U,VMI1 Fasteners,S-1-C,1-MSC-6-40 SSS,STAR STAINLESS SCREW LTD.,M6-1.0X40 SSS CP;18-8 (A2) D916,25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0021,1-MSC-6-45 SSS-25U,VMI1 Fasteners,S-1-C,1-MSC-6-45 SSS,STAR STAINLESS SCREW LTD.,M6-1.0X45 SSS CUP POINT SET SCREW 18-8 (A2) D916,25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0022,1-FS-37C-250 SSS-25U,VMI1 Fasteners,S-1-D,1-FS-37C-250 SSS,STAR STAINLESS SCREW LTD.,"3/8-16X2-1/2 FHSCS, 18-8 (A2) NC",25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0150,1-F-100C SSS-25U,VMI1 Fasteners,S-3-C,1-F-100C SSS,STAR STAINLESS SCREW LTD.,1-8 FIN HEX NUT 18-8 (A2) NC,25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0265,1-MH-5-30 SSS-25U,VMI1 Fasteners,S-6-B,1-MH-5-30 SSS,STAR STAINLESS SCREW LTD.,"M5-0.8X30 HHCS PT, 18-8 (A2) D931 NC",25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0303,1-MH-14-30 SSS-25U,VMI1 Fasteners,S-6-G,1-MH-14-30 SSS,STAR STAINLESS SCREW LTD.,"M14-2.0X30 HHCS PT, 18-8 (A2) D931 NC",25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0305,1-MH-14-40 SSS-25U,VMI1 Fasteners,S-6-G,1-MH-14-40 SSS,STAR STAINLESS SCREW LTD.,"M14-2.0X40 HHCS PT, 18-8 (A2) D931 NC",25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0306,1-MH-16-30 SSS-25U,VMI1 Fasteners,S-6-G,1-MH-16-30 SSS,STAR STAINLESS SCREW LTD.,"M16-2.0X30 HHCS PT, 18-8 (A2) D931 NC",25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0329,1-H-31C-250 SSS-25U,VMI1 Fasteners,S-7-B,1-H-31C-250 SSS,STAR STAINLESS SCREW LTD.,"5/16-18X2-1/2 HHCS PT, 18-8 (A2) NC",25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0348,1-H-50C-250 SSS-25U,VMI1 Fasteners,S-7-D,1-H-50C-250 SSS,STAR STAINLESS SCREW LTD.,1/2-13X2-1/2 ;HHCS; PT 18-8 (A2) NC,25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
Chapmans,127966,CIC0349,1-H-50C-300 SSS-25U,VMI1 Fasteners,S-7-D,1-H-50C-300 SSS,STAR STAINLESS SCREW LTD.,1/2-13X3 ;HHCS; PT 18-8 (A2) NC,25 25U,50,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
